day,months,year,co2
15,1,1959,315.42
15,2,1959,316.31
15,3,1959,316.5
15,4,1959,317.56
15,5,1959,318.13
15,6,1959,318
15,7,1959,316.39
15,8,1959,314.65
15,9,1959,313.68
15,10,1959,313.18
15,11,1959,314.66
15,12,1959,315.43
15,1,1960,316.27
15,2,1960,316.81
15,3,1960,317.42
15,4,1960,318.87
15,5,1960,319.87
15,6,1960,319.43
15,7,1960,318.01
15,8,1960,315.74
15,9,1960,314
15,10,1960,313.68
15,11,1960,314.84
15,12,1960,316.03
15,1,1961,316.73
15,2,1961,317.54
15,3,1961,318.38
15,4,1961,319.31
15,5,1961,320.42
15,6,1961,319.61
15,7,1961,318.42
15,8,1961,316.63
15,9,1961,314.83
15,10,1961,315.16
15,11,1961,315.94
15,12,1961,316.85
15,1,1962,317.78
15,2,1962,318.4
15,3,1962,319.53
15,4,1962,320.42
15,5,1962,320.85
15,6,1962,320.45
15,7,1962,319.45
15,8,1962,317.25
15,9,1962,316.11
15,10,1962,315.27
15,11,1962,316.53
15,12,1962,317.53
15,1,1963,318.58
15,2,1963,318.92
15,3,1963,319.7
15,4,1963,321.22
15,5,1963,322.08
15,6,1963,321.31
15,7,1963,319.58
15,8,1963,317.61
15,9,1963,316.05
15,10,1963,315.83
15,11,1963,316.91
15,12,1963,318.2
15,1,1964,319.41
15,2,1964,320.07
15,3,1964,320.74
15,4,1964,321.4
15,5,1964,322.06
15,6,1964,321.73
15,7,1964,320.27
15,8,1964,318.54
15,9,1964,316.54
15,10,1964,316.71
15,11,1964,317.53
15,12,1964,318.55
15,1,1965,319.27
15,2,1965,320.28
15,3,1965,320.73
15,4,1965,321.97
15,5,1965,322
15,6,1965,321.71
15,7,1965,321.05
15,8,1965,318.71
15,9,1965,317.66
15,10,1965,317.14
15,11,1965,318.7
15,12,1965,319.25
15,1,1966,320.46
15,2,1966,321.43
15,3,1966,322.23
15,4,1966,323.54
15,5,1966,323.91
15,6,1966,323.59
15,7,1966,322.24
15,8,1966,320.2
15,9,1966,318.48
15,10,1966,317.94
15,11,1966,319.63
15,12,1966,320.87
15,1,1967,322.17
15,2,1967,322.34
15,3,1967,322.88
15,4,1967,324.25
15,5,1967,324.83
15,6,1967,323.93
15,7,1967,322.38
15,8,1967,320.76
15,9,1967,319.1
15,10,1967,319.24
15,11,1967,320.56
15,12,1967,321.8
15,1,1968,322.4
15,2,1968,322.99
15,3,1968,323.73
15,4,1968,324.86
15,5,1968,325.4
15,6,1968,325.2
15,7,1968,323.98
15,8,1968,321.95
15,9,1968,320.18
15,10,1968,320.09
15,11,1968,321.16
15,12,1968,322.74
15,1,1969,323.83
15,2,1969,324.26
15,3,1969,325.47
15,4,1969,326.5
15,5,1969,327.21
15,6,1969,326.54
15,7,1969,325.72
15,8,1969,323.5
15,9,1969,322.22
15,10,1969,321.62
15,11,1969,322.69
15,12,1969,323.95
15,1,1970,324.89
15,2,1970,325.82
15,3,1970,326.77
15,4,1970,327.97
15,5,1970,327.91
15,6,1970,327.5
15,7,1970,326.18
15,8,1970,324.53
15,9,1970,322.93
15,10,1970,322.9
15,11,1970,323.85
15,12,1970,324.96
15,1,1971,326.01
15,2,1971,326.51
15,3,1971,327.01
15,4,1971,327.62
15,5,1971,328.76
15,6,1971,328.4
15,7,1971,327.2
15,8,1971,325.27
15,9,1971,323.2
15,10,1971,323.4
15,11,1971,324.63
15,12,1971,325.85
15,1,1972,326.6
15,2,1972,327.47
15,3,1972,327.58
15,4,1972,329.56
15,5,1972,329.9
15,6,1972,328.92
15,7,1972,327.88
15,8,1972,326.16
15,9,1972,324.68
15,10,1972,325.04
15,11,1972,326.34
15,12,1972,327.39
15,1,1973,328.37
15,2,1973,329.4
15,3,1973,330.14
15,4,1973,331.33
15,5,1973,332.31
15,6,1973,331.9
15,7,1973,330.7
15,8,1973,329.15
15,9,1973,327.35
15,10,1973,327.02
15,11,1973,327.99
15,12,1973,328.48
15,1,1974,329.18
15,2,1974,330.55
15,3,1974,331.32
15,4,1974,332.48
15,5,1974,332.92
15,6,1974,332.08
15,7,1974,331.01
15,8,1974,329.23
15,9,1974,327.27
15,10,1974,327.21
15,11,1974,328.29
15,12,1974,329.41
15,1,1975,330.23
15,2,1975,331.25
15,3,1975,331.87
15,4,1975,333.14
15,5,1975,333.8
15,6,1975,333.43
15,7,1975,331.73
15,8,1975,329.9
15,9,1975,328.4
15,10,1975,328.17
15,11,1975,329.32
15,12,1975,330.59
15,1,1976,331.58
15,2,1976,332.39
15,3,1976,333.33
15,4,1976,334.41
15,5,1976,334.71
15,6,1976,334.17
15,7,1976,332.89
15,8,1976,330.77
15,9,1976,329.14
15,10,1976,328.78
15,11,1976,330.14
15,12,1976,331.52
15,1,1977,332.75
15,2,1977,333.24
15,3,1977,334.53
15,4,1977,335.9
15,5,1977,336.57
15,6,1977,336.1
15,7,1977,334.76
15,8,1977,332.59
15,9,1977,331.42
15,10,1977,330.98
15,11,1977,332.24
15,12,1977,333.68
15,1,1978,334.8
15,2,1978,335.22
15,3,1978,336.47
15,4,1978,337.59
15,5,1978,337.84
15,6,1978,337.72
15,7,1978,336.37
15,8,1978,334.51
15,9,1978,332.6
15,10,1978,332.38
15,11,1978,333.75
15,12,1978,334.78
15,1,1979,336.05
15,2,1979,336.59
15,3,1979,337.79
15,4,1979,338.71
15,5,1979,339.3
15,6,1979,339.12
15,7,1979,337.56
15,8,1979,335.92
15,9,1979,333.75
15,10,1979,333.7
15,11,1979,335.12
15,12,1979,336.56
15,1,1980,337.84
15,2,1980,338.19
15,3,1980,339.91
15,4,1980,340.6
15,5,1980,341.29
15,6,1980,341
15,7,1980,339.39
15,8,1980,337.43
15,9,1980,335.72
15,10,1980,335.84
15,11,1980,336.93
15,12,1980,338.04
15,1,1981,339.06
15,2,1981,340.3
15,3,1981,341.21
15,4,1981,342.33
15,5,1981,342.74
15,6,1981,342.08
15,7,1981,340.32
15,8,1981,338.26
15,9,1981,336.52
15,10,1981,336.68
15,11,1981,338.19
15,12,1981,339.44
15,1,1982,340.57
15,2,1982,341.44
15,3,1982,342.53
15,4,1982,343.39
15,5,1982,343.96
15,6,1982,343.18
15,7,1982,341.88
15,8,1982,339.65
15,9,1982,337.81
15,10,1982,337.69
15,11,1982,339.09
15,12,1982,340.32
15,1,1983,341.2
15,2,1983,342.35
15,3,1983,342.93
15,4,1983,344.77
15,5,1983,345.58
15,6,1983,345.14
15,7,1983,343.81
15,8,1983,342.21
15,9,1983,339.69
15,10,1983,339.82
15,11,1983,340.98
15,12,1983,342.82
15,1,1984,343.52
15,2,1984,344.33
15,3,1984,345.11
15,4,1984,346.88
15,5,1984,347.25
15,6,1984,346.62
15,7,1984,345.22
15,8,1984,343.11
15,9,1984,340.9
15,10,1984,341.18
15,11,1984,342.8
15,12,1984,344.04
15,1,1985,344.79
15,2,1985,345.82
15,3,1985,347.25
15,4,1985,348.17
15,5,1985,348.74
15,6,1985,348.07
15,7,1985,346.38
15,8,1985,344.51
15,9,1985,342.92
15,10,1985,342.62
15,11,1985,344.06
15,12,1985,345.38
15,1,1986,346.11
15,2,1986,346.78
15,3,1986,347.68
15,4,1986,349.37
15,5,1986,350.03
15,6,1986,349.37
15,7,1986,347.76
15,8,1986,345.73
15,9,1986,344.68
15,10,1986,343.99
15,11,1986,345.48
15,12,1986,346.72
15,1,1987,347.84
15,2,1987,348.29
15,3,1987,349.23
15,4,1987,350.8
15,5,1987,351.66
15,6,1987,351.07
15,7,1987,349.33
15,8,1987,347.92
15,9,1987,346.27
15,10,1987,346.18
15,11,1987,347.64
15,12,1987,348.78
15,1,1988,350.25
15,2,1988,351.54
15,3,1988,352.05
15,4,1988,353.41
15,5,1988,354.04
15,6,1988,353.62
15,7,1988,352.22
15,8,1988,350.27
15,9,1988,348.55
15,10,1988,348.72
15,11,1988,349.91
15,12,1988,351.18
15,1,1989,352.6
15,2,1989,352.92
15,3,1989,353.53
15,4,1989,355.26
15,5,1989,355.52
15,6,1989,354.97
15,7,1989,353.75
15,8,1989,351.52
15,9,1989,349.64
15,10,1989,349.83
15,11,1989,351.14
15,12,1989,352.37
15,1,1990,353.5
15,2,1990,354.55
15,3,1990,355.23
15,4,1990,356.04
15,5,1990,357
15,6,1990,356.07
15,7,1990,354.67
15,8,1990,352.76
15,9,1990,350.82
15,10,1990,351.04
15,11,1990,352.69
15,12,1990,354.07
15,1,1991,354.59
15,2,1991,355.63
15,3,1991,357.03
15,4,1991,358.48
15,5,1991,359.22
15,6,1991,358.12
15,7,1991,356.06
15,8,1991,353.92
15,9,1991,352.05
15,10,1991,352.11
15,11,1991,353.64
15,12,1991,354.89
15,1,1992,355.88
15,2,1992,356.63
15,3,1992,357.72
15,4,1992,359.07
15,5,1992,359.58
15,6,1992,359.17
15,7,1992,356.94
15,8,1992,354.92
15,9,1992,352.94
15,10,1992,353.23
15,11,1992,354.09
15,12,1992,355.33
15,1,1993,356.63
15,2,1993,357.1
15,3,1993,358.32
15,4,1993,359.41
15,5,1993,360.23
15,6,1993,359.55
15,7,1993,357.53
15,8,1993,355.48
15,9,1993,353.67
15,10,1993,353.95
15,11,1993,355.3
15,12,1993,356.78
15,1,1994,358.34
15,2,1994,358.89
15,3,1994,359.95
15,4,1994,361.25
15,5,1994,361.67
15,6,1994,360.94
15,7,1994,359.55
15,8,1994,357.49
15,9,1994,355.84
15,10,1994,356
15,11,1994,357.59
15,12,1994,359.05
15,1,1995,359.98
15,2,1995,361.03
15,3,1995,361.66
15,4,1995,363.48
15,5,1995,363.82
15,6,1995,363.3
15,7,1995,361.94
15,8,1995,359.5
15,9,1995,358.11
15,10,1995,357.8
15,11,1995,359.61
15,12,1995,360.74
15,1,1996,362.09
15,2,1996,363.29
15,3,1996,364.06
15,4,1996,364.76
15,5,1996,365.45
15,6,1996,365.01
15,7,1996,363.7
15,8,1996,361.54
15,9,1996,359.51
15,10,1996,359.65
15,11,1996,360.8
15,12,1996,362.38
15,1,1997,363.23
15,2,1997,364.06
15,3,1997,364.61
15,4,1997,366.4
15,5,1997,366.84
15,6,1997,365.68
15,7,1997,364.52
15,8,1997,362.57
15,9,1997,360.24
15,10,1997,360.83
15,11,1997,362.49
15,12,1997,364.34
